OTUID	Betweenness	Closeness	Degree	ExpectedInfluence	Hub
8cadbc1d3d8f9306ad42061911eaa04e	158.345275	0.001658375	8	8	Not_Hub
90537d5d3c6a99e3c154468f1465a3b3	172.192804	0.001210654	4	4	Not_Hub
91375f958a967ac389b42d81be115316	247.363474	0.001349528	5	5	Not_Hub
92e815f2cb7a216dbbe4152d9246b3be	274.928826	0.001831502	8	8	Not_Hub
9512f925880b71663db5aa2ad80d9854	18.263982	0.001428571	3	3	Not_Hub
95158e9279714140e91ed2dc2967675c	729.430103	0.001934236	11	11	Hub
968ba22e12c472f73284a84f0afc35d9	94.576104	0.001618123	5	5	Not_Hub
980debfaf2f38696d05db955f5fc4296	295.80474	0.001550388	5	5	Not_Hub
9ad47836559ad0a1d42abf2ccbd31e14	161.844784	0.001594896	6	6	Not_Hub
9ad59b62859bb658b897dcbcc9bfb2b4	32.494641	0.001381216	2	2	Not_Hub
9cb024fab71b1d94fa636524fc3cc60b	160.444956	0.001686341	6	6	Not_Hub
9cf5b443837d44b8e5659090f370cac1	354.015554	0.001572327	10	10	Not_Hub
9d210d5d47c9053836605e04e4ae6253	216.437993	0.001574803	5	5	Not_Hub
9d5c904a1ffaba790ae36b6bd3feb627	392.198926	0.001607717	6	6	Not_Hub
9e771d49dffcb33ce8955d55a71048a9	15.358819	0.001392758	3	3	Not_Hub
a0906d82df75a388b707432c9c330bd2	85.776439	0.00155521	5	5	Not_Hub
a34eb4f794d6bf8c1edd7cb6acaa707f	0	0.001148106	1	1	Not_Hub
a4618fea06de53ac8cbbf6efe2a9cd33	65.169843	0.001447178	5	5	Not_Hub
a5f69d31ce423dafb06fb1d980699def	0	NA	0	0	Not_Hub
a769ae1d4e8ad23b14c5b50ff04712b9	71.944066	0.001488095	3	3	Not_Hub
a8319e911625bc539d5c1035b8370452	409.952754	0.00173913	9	9	Not_Hub
a96b8aad15dcc0f4a5a15c743b1675ae	50.315167	0.001426534	5	5	Not_Hub
abddff6d8ae815748ee545b9a3afff0c	268.896122	0.001451379	6	6	Not_Hub
ac44180ec51a53f179be79b1946b0105	86.556835	0.00120919	2	2	Not_Hub
ac72d8309c00939db305200bd87856c0	409.234819	0.001769912	9	9	Not_Hub
ad6ca4a2377ef26d74f534de7b856e1e	27.540243	0.001242236	2	2	Not_Hub
ad88f4f4cd745819ecaa1e52579ff146	732.742168	0.001908397	10	10	Hub
ae8463313c31ed1c4fa197c805ceb8db	70.630004	0.001594896	7	7	Not_Hub
aed281e3711851eb83e09a68463422da	574.693749	0.001858736	8	8	Not_Hub
b3eb4d7da7591e1cb6e0bcbbb77837cd	83.49219	0.001312336	3	3	Not_Hub
b89555317bcb7b822c5cd291acaca9e0	141.314914	0.001669449	5	5	Not_Hub
ba29f3dd5d894cc259e6bde49cae3178	87.112337	0.001672241	7	7	Not_Hub
ba2cc2db8a1855ea15d2939200d2c131	125.686943	0.001515152	5	5	Not_Hub
babc444bb387b0bb93a28486642f0010	65.903532	0.001335114	3	3	Not_Hub
bac7f39772065f7af6336d5c2beafff3	185.698271	0.001703578	9	9	Not_Hub
bb12c82428b6bd6c69d16afc7823e40d	428.171305	0.00174216	10	10	Not_Hub
bc1fe5c041272af401d132ce3c45ab02	0	0.001283697	3	3	Not_Hub
c16ef4ce0f509cd50ad14de7959544c9	463.893258	0.00174216	11	11	Not_Hub
c6f26ad903b44a3bf25098a616632f51	152.506359	0.001694915	6	6	Not_Hub
c799e0521751b9ef87ed83ce5cd5b20f	0	0.001089325	2	2	Not_Hub
c873ce0ca1bc8126d534983ec5c8cda1	27.590613	0.001386963	3	3	Not_Hub
c88b286f1487dca9481eae5eaea499b0	1.849038	0.001398601	2	2	Not_Hub
ca547db9faee11e0563f4dad4ae6cb2c	384.753095	0.001459854	5	5	Not_Hub
caeb3f911fa8909116a26546aea94ea9	288.049657	0.001680672	7	7	Not_Hub
cc4ac01d8e29d2a9e67e39ce08994e3b	369.9868	0.00131406	4	4	Not_Hub
cdd9ba279844e0bbe44164c4d4ad9921	120.855858	0.001587302	7	7	Not_Hub
ce0308a03aeed5599b34f9b516c40965	892.304097	0.001733102	15	15	Hub
ce2978f69131fd867118f94afa83ecc2	0	0.001176471	1	1	Not_Hub
d0d88cea8abf6fd328588be0f040337d	0	0.001264223	2	2	Not_Hub
d15337856e869be5ed3c423b8a4ae169	119.18571	0.001526718	4	4	Not_Hub
d3a22f33cc7e0d935e85ef685e3a46b5	396.029744	0.001760563	9	9	Not_Hub
d4f3b316368ae91176fb2a0b9d4a6a99	123.363687	0.00149925	3	3	Not_Hub
d56c56f94e2a5a7dce1483f652f61bfe	187.21248	0.001579779	7	7	Not_Hub
d7c57f839bd682cc28a06c50224d9685	197.396613	0.001669449	7	7	Not_Hub
d9e0e11d7ccb2b4783409c01ccc55eeb	234.459429	0.001785714	8	8	Not_Hub
da3b250d28bcd2526612085fa67547be	248.659723	0.001760563	8	8	Not_Hub
dc9224ce16490377a222453ae8f7acf7	192.071871	0.001642036	5	5	Not_Hub
dc9ccd4a3093bb939831f5610f6d445c	66.665613	0.001531394	5	5	Not_Hub
decb0435707ff57b8e00dab27abff7b5	152.19101	0.001531394	6	6	Not_Hub
e01f583335a57202782da4c45be21193	238.336337	0.00154321	6	6	Not_Hub
e18880b5e468f9e5fd9f6a70c66e8f73	970.685257	0.001851852	6	6	Hub
e1ceb643cce61aa2441e8896bc89b67c	141.944111	0.001377411	4	4	Not_Hub
e1d2b9191d37f16d76292a3f0f8b2096	59.363554	0.001488095	4	4	Not_Hub
e29cf5a2af76f5e7a2e54ea9b4039df0	579.300243	0.001680672	6	6	Not_Hub
e3be67174f901b99db980b9fa9b728e9	100.760552	0.001474926	5	5	Not_Hub
e56e38e25a8683b24e4e51cd8ebfced5	367.335572	0.001615509	8	8	Not_Hub
e5ba8f3c253dc64b003e1049a2cd9de9	1160.143109	0.002024292	13	13	Hub
e7c2a163c3fe26566bf2760d399477ad	393.662884	0.001801802	6	6	Not_Hub
e7d27b92f53ca20e89f12ab60fe77511	1341.775396	0.002024292	15	15	Hub
e967796dadd1f1f608837f2455fa5e22	463.651143	0.001748252	6	6	Not_Hub
e9aabf71229c260c9527010fe4ff2994	439.058376	0.001831502	8	8	Not_Hub
eedd9c9a90e1cedda72911e2b134ecf7	677.444081	0.001644737	6	6	Not_Hub
f08b136dbcc5b2dd764c15ddd0245b21	74.235803	0.001390821	3	3	Not_Hub
f4503842adeac720f5a1ac3d42cd21f0	73.979769	0.001508296	4	4	Not_Hub
f5206aea8b99abe700bdf6eb3b8008c5	476.257022	0.001650165	9	9	Not_Hub
f5a1e14eb5f13918065a5ba7ebe2dcc9	77.594464	0.001422475	4	4	Not_Hub
f6e1374dca2c67316ffcb13b4e2eea51	398.141137	0.001727116	7	7	Not_Hub
fa7009cb17c4da803a4fac9e756701d1	19.140011	0.001324503	2	2	Not_Hub
fbeef53b38ac0e8c6e704675ea178287	50.980783	0.001344086	4	4	Not_Hub
fc96112f246bf78c29d595907e9c9bfc	35.111365	0.001464129	6	6	Not_Hub
fdd76ccf0c6d82dc529fc5d28877c33f	34.112436	0.001390821	4	4	Not_Hub
fe059d043b9578500ac6af4e9bb1c431	28.732147	0.001259446	2	2	Not_Hub
ffd05b78e1c91d5b0ae68a1f1e5f9fb2	478.12166	0.001733102	10	10	Not_Hub
ffd66cbdb5a764bf608fd905c3c2ad25	99.596512	0.001769912	7	7	Not_Hub
