ID	222	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	244	248	249	251	252	253	254	255	256	257	258	259	263	264	265	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293
Caenimonas	0.001869159	0.000934579	0.001869159	0	0.000934579	0.003738318	0	0.002803738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010280374	0.012149533	0.003738318	0.003738318	0.004672897	0.003738318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0	0.000934579	0	0.003738318	0.002803738	0.003738318	0.001869159	0.002803738	0.002803738	0.005607477	0.003738318	0.003738318	0.003738318
Uncultured Plectosphaerellaceae	0.004672897	0.002803738	0.001869159	0	0.005607477	0.003738318	0	0	0	0.001869159	0	0	0	0	0.002803738	0.001869159	0	0.006542056	0.019626168	0	0	0.002803738	0.006542056	0.007476636	0.007476636	0.013084112	0.006542056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ideonella	0.000934579	0.005607477	0.008411215	0	0.006542056	0.008411215	0.003738318	0.003738318	0.006542056	0.005607477	0.011214953	0.002803738	0.001869159	0	0.009345794	0.003738318	0	0	0.006542056	0	0	0.001869159	0.007476636	0.012149533	0.008411215	0.006542056	0.005607477	0.002803738	0	0	0.009345794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncultured Peronosporales	0.01588785	0.036448598	0.106542056	0	0.047663551	0.08411215	0.677570093	0.631775701	0.447663551	0.696261682	0.493457944	0.206542056	0.714018692	0.155140187	0.128037383	0	0.026168224	0.013084112	0	0.011214953	0	0.114953271	0.000934579	0	0	0	0.099065421	0	0	0	0.03271028	0	0.010280374	0	0	0.006542056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uncultured Chitinophagaceae	0	0.002803738	0	0	0.001869159	0.003738318	0.000934579	0.004672897	0.001869159	0.003738318	0.002803738	0.006542056	0.006542056	0	0	0	0.003738318	0	0.009345794	0	0	0.000934579	0.002803738	0.006542056	0.003738318	0.005607477	0.001869159	0.000934579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia2	0.004672897	0.003738318	0.009345794	0.006542056	0.014018692	0.008411215	0.014018692	0.026168224	0.013084112	0.021495327	0.018691589	0.019626168	0.011214953	0.037383178	0.01588785	0.000934579	0.009345794	0.019626168	0.004672897	0	0.002803738	0	0.007476636	0.002803738	0.006542056	0.005607477	0.008411215	0	0	0.001869159	0	0	0	0	0	0	0	0	0	0	0.001869159	0	0	0.004672897	0	0	0	0	0	0	0	0	0.000934579	0	0	0	0	0	0	0
Rhizophlyctis	0.042990654	0.003738318	0.004672897	0	0.001869159	0.001869159	0.002803738	0	0.000934579	0	0	0.003738318	0.000934579	0	0	0.005607477	0	0	0.000934579	0	0	0.003738318	0.001869159	0.001869159	0.002803738	0.001869159	0	0	0	0	0	0.008411215	0	0	0	0	0.023364486	0.009345794	0	0.008411215	0.002803738	0.01588785	0.009345794	0	0	0.01588785	0	0	0.001869159	0	0	0	0.001869159	0	0	0	0	0	0	0
Uncultured Acidobacteria (Subgroup 11)	0.002803738	0.002803738	0.000934579	0	0.000934579	0.003738318	0.000934579	0.001869159	0.001869159	0.000934579	0.000934579	0	0	0	0	0	0.000934579	0	0	0	0	0.004672897	0.002803738	0.000934579	0	0.000934579	0.001869159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orciraptor agilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014953271	0.046728972	0.01588785	0.034579439	0.01588785	0.021495327	0.017757009	0.018691589	0.013084112	0.010280374	0.007476636	0.008411215	0.008411215	0.006542056	0.005607477	0.034579439	0.042056075	0.014018692	0	0	0	0	0	0	0	0	0
Steroidobacter	0.005607477	0.003738318	0.002803738	0	0	0.004672897	0	0	0.002803738	0	0	0	0	0	0.000934579	0.000934579	0	0	0.002803738	0	0	0.001869159	0.002803738	0.006542056	0.000934579	0.003738318	0.004672897	0.001869159	0	0	0	0	0.002803738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001869159	0	0	0	0	0	0	0.000934579	0
